scenario,method,snr_db,omega_rad_per_frame,median_abs_error_rad,rmse_rad,p90_abs_error_rad,sign_error_rate,quality_mean,quality_median
awgn,circular_sign_wls,-6.0,0.35,0.03350386023521423,0.12184112519025803,0.09651361405849457,0.005859375,0.641329824924469,0.7213529348373413
awgn,kasai,-6.0,0.8,0.2568027079105377,0.5415321588516235,0.7904105186462402,0.05859375,0.8560642004013062,0.9273561239242554
awgn,wls_origin,-6.0,0.8,0.03718852996826172,0.29347091913223267,0.1222495511174202,0.0341796875,0.8560642004013062,0.9273561239242554
awgn,wls_free,-6.0,0.8,0.0852639377117157,0.31561464071273804,0.2536769509315491,0.033203125,0.8560642004013062,0.9273561239242554
awgn,huber_wls,-6.0,0.8,0.037082016468048096,0.29247841238975525,0.12257068604230881,0.033203125,0.8560642004013062,0.9273561239242554
awgn,leave_one_out,-6.0,0.8,0.0426982045173645,0.29400795698165894,0.13673529028892517,0.0341796875,0.8560642004013062,0.9273561239242554
awgn,circular_grid,-6.0,0.8,0.037758052349090576,0.34090498089790344,0.10586033016443253,0.013671875,0.8560642004013062,0.9273561239242554
awgn,circular_refined,-6.0,0.8,0.03642469644546509,0.34166258573532104,0.10679706186056137,0.013671875,0.8560642004013062,0.9273561239242554
awgn,circular_sign_wls,-6.0,0.8,0.037082016468048096,0.2191750407218933,0.11566894501447678,0.013671875,0.8560642004013062,0.9273561239242554
awgn,kasai,-6.0,1.35,0.25202322006225586,0.5358222723007202,0.7954376935958862,0.0185546875,0.90283203125,0.9766782522201538
awgn,wls_origin,-6.0,1.35,0.03650319576263428,0.35769665241241455,0.13378262519836426,0.029296875,0.90283203125,0.9766782522201538
awgn,wls_free,-6.0,1.35,0.07889801263809204,0.4020152986049652,0.2860194146633148,0.0361328125,0.90283203125,0.9766782522201538
awgn,huber_wls,-6.0,1.35,0.03708183765411377,0.3530347943305969,0.1377151608467102,0.0283203125,0.90283203125,0.9766782522201538
awgn,leave_one_out,-6.0,1.35,0.041356801986694336,0.35481300950050354,0.14960181713104248,0.0263671875,0.90283203125,0.9766782522201538
awgn,circular_grid,-6.0,1.35,0.03753674030303955,0.3061389923095703,0.11081624031066895,0.0126953125,0.90283203125,0.9766782522201538
awgn,circular_refined,-6.0,1.35,0.03580993413925171,0.30622372031211853,0.11190429329872131,0.0126953125,0.90283203125,0.9766782522201538
awgn,circular_sign_wls,-6.0,1.35,0.036563754081726074,0.3439039885997772,0.13777916133403778,0.0126953125,0.90283203125,0.9766782522201538
awgn,kasai,0.0,0.35,0.05965760350227356,0.09795860946178436,0.15768317878246307,0.0009765625,0.9683527946472168,0.9784873723983765
awgn,wls_origin,0.0,0.35,0.010048404335975647,0.015700476244091988,0.025260817259550095,0.0,0.9683527946472168,0.9784873723983765
awgn,wls_free,0.0,0.35,0.020161747932434082,0.032903168350458145,0.05253950506448746,0.0,0.9683527946472168,0.9784873723983765
awgn,huber_wls,0.0,0.35,0.010048404335975647,0.015700476244091988,0.025260817259550095,0.0,0.9683527946472168,0.9784873723983765
awgn,leave_one_out,0.0,0.35,0.011304661631584167,0.018022775650024414,0.028824761509895325,0.0,0.9683527946472168,0.9784873723983765
awgn,circular_grid,0.0,0.35,0.009660780429840088,0.016051946207880974,0.0252457857131958,0.0,0.9683527946472168,0.9784873723983765
awgn,circular_refined,0.0,0.35,0.01004841923713684,0.015700476244091988,0.025260796770453453,0.0,0.9683527946472168,0.9784873723983765
awgn,circular_sign_wls,0.0,0.35,0.010048404335975647,0.015700476244091988,0.025260817259550095,0.0,0.9683527946472168,0.9784873723983765
awgn,kasai,0.0,0.8,0.06008678674697876,0.09558086097240448,0.15790347754955292,0.0,0.994054913520813,0.9956436157226562
awgn,wls_origin,0.0,0.8,0.009543448686599731,0.015427665784955025,0.02452681213617325,0.0,0.994054913520813,0.9956436157226562
awgn,wls_free,0.0,0.8,0.02042943239212036,0.031642451882362366,0.051622677594423294,0.0,0.994054913520813,0.9956436157226562
awgn,huber_wls,0.0,0.8,0.009543448686599731,0.015427665784955025,0.02452681213617325,0.0,0.994054913520813,0.9956436157226562
awgn,leave_one_out,0.0,0.8,0.01098644733428955,0.01780347339808941,0.029454272240400314,0.0,0.994054913520813,0.9956436157226562
awgn,circular_grid,0.0,0.8,0.011578082107007504,0.01569504290819168,0.02332848310470581,0.0,0.994054913520813,0.9956436157226562
awgn,circular_refined,0.0,0.8,0.009543389081954956,0.015427673235535622,0.02452682889997959,0.0,0.994054913520813,0.9956436157226562
awgn,circular_sign_wls,0.0,0.8,0.009543448686599731,0.015427665784955025,0.02452681213617325,0.0,0.994054913520813,0.9956436157226562
awgn,kasai,0.0,1.35,0.06058228015899658,0.09581831097602844,0.1580590307712555,0.0,0.9978761076927185,0.9985042214393616
